"Disease","County","Year","Sex","Cases","Population","Rate","Lower 95% CI","Upper 95% CI","Annotation Code"
Chlamydia,California,2001,Female,75941,17339700,438.0,434.9,441.1,
Chlamydia,California,2001,Male,24885,17173042,144.9,143.1,146.7,
Chlamydia,California,2001,Total,101590,34512742,294.4,292.6,296.2,
Chlamydia,California,2002,Female,81583,17554666,464.7,461.6,467.9,
Chlamydia,California,2002,Male,28521,17383624,164.1,162.2,166.0,
Chlamydia,California,2002,Total,110759,34938290,317.0,315.2,318.9,
Chlamydia,California,2003,Female,85153,17782868,478.8,475.6,482.1,
Chlamydia,California,2003,Male,31007,17606060,176.1,174.2,178.1,
Chlamydia,California,2003,Total,116385,35388928,328.9,327.0,330.8,
Chlamydia,California,2004,Female,89438,17968347,497.8,494.5,501.0,
Chlamydia,California,2004,Male,33652,17784418,189.2,187.2,191.3,
Chlamydia,California,2004,Total,123439,35752765,345.3,343.3,347.2,
Chlamydia,California,2005,Female,92362,18087299,510.6,507.4,513.9,
Chlamydia,California,2005,Male,36227,17898283,202.4,200.3,204.5,
Chlamydia,California,2005,Total,129177,35985582,359.0,357.0,360.9,
Chlamydia,California,2006,Female,97737,18219378,536.4,533.1,539.8,
Chlamydia,California,2006,Male,38105,18027444,211.4,209.3,213.5,
Chlamydia,California,2006,Total,136481,36246822,376.5,374.5,378.5,
Chlamydia,California,2007,Female,101893,18372905,554.6,551.2,558.0,
Chlamydia,California,2007,Male,40605,18179624,223.4,221.2,225.5,
Chlamydia,California,2007,Total,143014,36552529,391.3,389.2,393.3,
Chlamydia,California,2008,Female,104555,18525551,564.4,561.0,567.8,
Chlamydia,California,2008,Male,44163,18330671,240.9,238.7,243.2,
Chlamydia,California,2008,Total,149254,36856222,405.0,402.9,407.0,
Chlamydia,California,2009,Female,102007,18632980,547.5,544.1,550.8,
Chlamydia,California,2009,Male,45093,18444224,244.5,242.2,246.7,
Chlamydia,California,2009,Total,147604,37077204,398.1,396.1,400.1,
Chlamydia,California,2010,Female,106382,18781184,566.4,563.0,569.8,
Chlamydia,California,2010,Male,48372,18582184,260.3,258.0,262.6,
Chlamydia,California,2010,Total,155338,37363368,415.7,413.7,417.8,
Chlamydia,California,2011,Female,113118,18938400,597.3,593.8,600.8,
Chlamydia,California,2011,Male,50990,18765193,271.7,269.4,274.1,
Chlamydia,California,2011,Total,164589,37703593,436.5,434.4,438.6,
Chlamydia,California,2012,Female,115479,19110226,604.3,600.8,607.8,
Chlamydia,California,2012,Male,53670,18945559,283.3,280.9,285.7,
Chlamydia,California,2012,Total,169447,38055785,445.3,443.1,447.4,
Chlamydia,California,2013,Female,112750,19242306,585.9,582.5,589.4,
Chlamydia,California,2013,Male,54880,19100336,287.3,284.9,289.7,
Chlamydia,California,2013,Total,167847,38342642,437.8,435.7,439.9,
Chlamydia,California,2014,Female,114008,19383492,588.2,584.8,591.6,
Chlamydia,California,2014,Male,59985,19261310,311.4,308.9,313.9,
Chlamydia,California,2014,Total,174257,38644802,450.9,448.8,453.0,
Chlamydia,California,2015,Female,121743,19509584,624.0,620.5,627.5,
Chlamydia,California,2015,Male,67680,19403923,348.8,346.2,351.4,
Chlamydia,California,2015,Total,189726,38913507,487.6,485.4,489.8,
Chlamydia,California,2016,Female,123947,19610517,632.0,628.5,635.6,
Chlamydia,California,2016,Male,73678,19517338,377.5,374.8,380.2,
Chlamydia,California,2016,Total,198239,39127855,506.6,504.4,508.9,
Chlamydia,California,2017,Female,135166,19705966,685.9,682.3,689.6,
Chlamydia,California,2017,Male,83304,19622960,424.5,421.7,427.4,
Chlamydia,California,2017,Total,218949,39328926,556.7,554.4,559.0,
Chlamydia,California,2018,Female,142605,19773580,721.2,717.5,724.9,
Chlamydia,California,2018,Male,89295,19702484,453.2,450.3,456.2,
Chlamydia,California,2018,Total,232508,39476064,589.0,586.6,591.4,
Chlamydia,California,2019,Female,143932,19798757,727.0,723.2,730.7,
Chlamydia,California,2019,Male,92970,19730809,471.2,468.2,474.2,
Chlamydia,California,2019,Total,237441,39529566,600.7,598.3,603.1,
Chlamydia,California,2020,Female,108474,19810307,547.6,544.3,550.8,
Chlamydia,California,2020,Male,68228,19731479,345.8,343.2,348.4,
Chlamydia,California,2020,Total,177241,39541786,448.2,446.2,450.3,
Chlamydia,Alameda,2001,Female,3691,746596,494.4,478.6,510.5,
Chlamydia,Alameda,2001,Male,1126,718968,156.6,147.6,166.0,
Chlamydia,Alameda,2001,Total,4861,1465564,331.7,322.4,341.1,
Chlamydia,Alameda,2002,Female,3729,747987,498.5,482.7,514.8,
Chlamydia,Alameda,2002,Male,1126,720481,156.3,147.3,165.7,
Chlamydia,Alameda,2002,Total,4870,1468468,331.6,322.4,341.1,
Chlamydia,Alameda,2003,Female,3780,747441,505.7,489.8,522.1,
Chlamydia,Alameda,2003,Male,1143,719746,158.8,149.7,168.3,
Chlamydia,Alameda,2003,Total,4928,1467187,335.9,326.6,345.4,
Chlamydia,Alameda,2004,Female,3995,746723,535.0,518.6,551.8,
Chlamydia,Alameda,2004,Male,1247,718817,173.5,164.0,183.4,
Chlamydia,Alameda,2004,Total,5249,1465540,358.2,348.6,368.0,
Chlamydia,Alameda,2005,Female,3914,743878,526.2,509.8,542.9,
Chlamydia,Alameda,2005,Male,1288,716004,179.9,170.2,190.0,
Chlamydia,Alameda,2005,Total,5205,1459882,356.5,346.9,366.3,
Chlamydia,Alameda,2006,Female,4462,746458,597.8,580.4,615.5,
Chlamydia,Alameda,2006,Male,1560,718381,217.2,206.5,228.2,
Chlamydia,Alameda,2006,Total,6029,1464839,411.6,401.3,422.1,
Chlamydia,Alameda,2007,Female,5154,752302,685.1,666.6,704.0,
Chlamydia,Alameda,2007,Male,1929,724099,266.4,254.7,278.5,
Chlamydia,Alameda,2007,Total,7087,1476401,480.0,468.9,491.3,
Chlamydia,Alameda,2008,Female,4961,760122,652.7,634.7,671.0,
Chlamydia,Alameda,2008,Male,2004,731659,273.9,262.1,286.1,
Chlamydia,Alameda,2008,Total,6973,1491781,467.4,456.5,478.5,
Chlamydia,Alameda,2009,Female,4703,765745,614.2,596.8,631.9,
Chlamydia,Alameda,2009,Male,2081,738082,281.9,270.0,294.3,
Chlamydia,Alameda,2009,Total,6785,1503827,451.2,440.5,462.0,
Chlamydia,Alameda,2010,Female,4781,772587,618.8,601.5,636.6,
Chlamydia,Alameda,2010,Male,2247,744030,302.0,289.7,314.7,
Chlamydia,Alameda,2010,Total,7029,1516617,463.5,452.7,474.4,
Chlamydia,Alameda,2011,Female,4615,781661,590.4,573.5,607.6,
Chlamydia,Alameda,2011,Male,2053,754325,272.2,260.5,284.2,
Chlamydia,Alameda,2011,Total,6672,1535986,434.4,424.0,444.9,
Chlamydia,Alameda,2012,Female,4352,793934,548.2,532.0,564.6,
Chlamydia,Alameda,2012,Male,2156,766779,281.2,269.4,293.3,
Chlamydia,Alameda,2012,Total,6509,1560713,417.1,407.0,427.3,
Chlamydia,Alameda,2013,Female,4264,805240,529.5,513.8,545.6,
Chlamydia,Alameda,2013,Male,2191,778824,281.3,269.7,293.3,
Chlamydia,Alameda,2013,Total,6459,1584064,407.7,397.9,417.8,
Chlamydia,Alameda,2014,Female,4369,817470,534.5,518.8,550.5,
Chlamydia,Alameda,2014,Male,2637,791144,333.3,320.7,346.3,
Chlamydia,Alameda,2014,Total,7014,1608614,436.0,425.9,446.3,
Chlamydia,Alameda,2015,Female,4920,827755,594.4,577.9,611.2,
Chlamydia,Alameda,2015,Male,3134,802404,390.6,377.0,404.5,
